taxa_id	marker	Kingdom	Phylum	Class	Order	Family	Genus	Species
masv_53392	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomeraceae	Glomeraceae_spp	Glomeraceae_spp
masv_53433	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Sclerocystaceae_Kamienskiaceae	Rhizophagus	Rhizophagus_sp
masv_53443	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Diversisporaceae	Diversisporaceae_spp	Diversisporaceae_spp
masv_53445	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Sclerocystaceae_Kamienskiaceae	Rhizophagus	Rhizophagus_sp
masv_53513	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomerales_spp	Glomerales_spp	Glomerales_spp
masv_53514	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomerales_spp	Glomerales_spp	Glomerales_spp
masv_53515	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomerales_spp	Glomerales_spp	Glomerales_spp
masv_5352	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Septoglomeraceae	Funneliformis	Funneliformis_sp
masv_53522	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomerales_spp	Glomerales_spp	Glomerales_spp
masv_53523	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikia	Dominikia_sp
masv_53527	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomerales_spp	Glomerales_spp	Glomerales_spp
masv_53528	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Sclerocystaceae_Kamienskiaceae	Sclerocystaceae_Kamienskiaceae_spp	Sclerocystaceae_Kamienskiaceae_spp
masv_53540	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Sclerocystaceae_Kamienskiaceae	Rhizophagus	Rhizophagus_sp
masv_53545	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomerales_spp	Glomerales_spp	Glomerales_spp
masv_53565	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Sclerocystaceae_Kamienskiaceae	Rhizophagus	Rhizophagus_sp
masv_53575	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Diversisporaceae	Diversispora	Diversispora_sp
masv_53605	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikia	Dominikia_sp
